kod_sekolah,nama_sekolah,kategori,daerah,status
BJJ7002,SEKOLAH RENDAH ISLAM AL-KAUTHAR,KAFAI,GOMBAK,AKTIF
BJJ7023,SEKOLAH RENDAH ISLAM AQIL AMSYAR,KAFAI,GOMBAK,AKTIF
BJJ7042,SEKOLAH RENDAH ISLAM AQIL AMSYAR (SAUJANA RAWANG),KAFAI,GOMBAK,AKTIF
BJJ7025,SEKOLAH RENDAH ISLAM AZ-ZAHRA',KAFAI,GOMBAK,AKTIF
BJJ7043,SEKOLAH RENDAH ISLAM BANDAR TASIK PUTERI,KAFAI,GOMBAK,AKTIF
BJJ7003,SEKOLAH RENDAH ISLAM DARUL THULAB (BANDAR BARU SELAYANG),KAFAI,GOMBAK,AKTIF
BJJ7028,SEKOLAH RENDAH ISLAM DARUL THULAB (GOMBAK),KAFAI,GOMBAK,AKTIF
BJJ7020,SEKOLAH RENDAH ISLAM DARUL THULAB (TASIK PUTERI),KAFAI,GOMBAK,AKTIF
BJJ7037,SEKOLAH RENDAH ISLAM GENERASI TERUNGGUL,KAFAI,GOMBAK,AKTIF
BJJ7010,SEKOLAH RENDAH ISLAM INSYIRAH,KAFAI,GOMBAK,AKTIF
BJJ7019,SEKOLAH RENDAH ISLAM INTEGRASI ADNI,KAFAI,GOMBAK,AKTIF
BJJ7030,SEKOLAH RENDAH ISLAM INTEGRASI AL-AMIN DARUL MUSTHOFA,KAFAI,GOMBAK,AKTIF
BJJ7044,SEKOLAH RENDAH ISLAM INTEGRASI AL-ISTIQAMAH,KAFAI,GOMBAK,AKTIF
BJJ7032,SEKOLAH RENDAH ISLAM INTEGRASI HIRA RAWANG,KAFAI,GOMBAK,AKTIF
BJJ7001,SEKOLAH RENDAH ISLAM INTEGRASI IBN KATHIR,KAFAI,GOMBAK,AKTIF
BJJ7015,SEKOLAH RENDAH ISLAM INTEGRASI SETIABUDI,KAFAI,GOMBAK,AKTIF
BJJ7011,SEKOLAH RENDAH ISLAM IRSYADIYAH,KAFAI,GOMBAK,AKTIF
BJJ7022,SEKOLAH RENDAH ISLAM KHAIRAA,KAFAI,GOMBAK,AKTIF
BJJ7029,SEKOLAH RENDAH ISLAM TASIK BIRU,KAFAI,GOMBAK,AKTIF
BZH7020,SEKOLAH TAHFIZ AL-HABBAH,KAFAI,GOMBAK,AKTIF
BZH7037,SMART TAHFIZ RIYADH RESTU,KAFAI,GOMBAK,AKTIF
BLL7001,SMI AL-AMIN,KAFAI,GOMBAK,AKTIF
BYP7009,SRA AN NUR KG MELAYU SERI KUNDANG,SRA,GOMBAK,AKTIF
BYP7010,SRA AS SIDDIQIN,SRA,GOMBAK,AKTIF
BYP7006,SRA BATU ARANG,SRA,GOMBAK,AKTIF
BYP7004,SRA IBNU KHALDUN,SRA,GOMBAK,AKTIF
BYP7002,SRA KG SG TUA BHARU,SRA,GOMBAK,AKTIF
BYP7007,SRA KUANG RAWANG,SRA,GOMBAK,AKTIF
BYP7011,SRA NURUL IMAN MASJID AT-TAQWA,SRA,GOMBAK,AKTIF
BYP7008,SRA SELAYANG BARU,SRA,GOMBAK,AKTIF
BYP7013,SRA SG CHINCHIN,SRA,GOMBAK,AKTIF
BYP7003,SRA TAMAN EHSAN,SRA,GOMBAK,AKTIF
BYP7001,SRA TAMAN PERMATA,SRA,GOMBAK,AKTIF
BYP7005,SRA ZAHIDIAH KG MELAYU SG BULUH,SRA,GOMBAK,AKTIF
BYR7002,SRAI SUNGAI CHINCHIN,SRA,GOMBAK,AKTIF
BYR7001,SRAI TAMAN KERAMAT,SRA,GOMBAK,AKTIF
BJJ7018,SRI HIDAYATUL IMAN,KAFAI,GOMBAK,AKTIF
BJJ7016,SRI INTEGRASI AL-AMIN (TAMAN KERAMAT),KAFAI,GOMBAK,AKTIF
BJJ7017,SRI INTEGRASI AL-HUDA,KAFAI,GOMBAK,AKTIF
BJJ7009,SRI SAIDINA ABU BAKAR AS-SIDDIQ,KAFAI,GOMBAK,AKTIF
BJJ7026,SRI ULUL AZMI BUKIT INDAH,KAFAI,GOMBAK,AKTIF
BZS7016,TADIKA ISLAM AL-KARIMIAH,KAFAI,GOMBAK,AKTIF
BZS7011,TADIKA ISLAM AL-EHSAN,KAFAI,GOMBAK,AKTIF
BZS7030,TADIKA ISLAM AQIL AMSYAR,KAFAI,GOMBAK,AKTIF
BZS7037,TADIKA ISLAM CAHAYA MURNI,KAFAI,GOMBAK,AKTIF
BZS7004,TADIKA ISLAM DARUL THULAB (BANDAR BARU SELAYANG),KAFAI,GOMBAK,AKTIF
BZS7024,TADIKA ISLAM DARUL THULAB (GREEN VALLEY),KAFAI,GOMBAK,AKTIF
BZS7040,TADIKA ISLAM QASIMUL ULUM,KAFAI,GOMBAK,AKTIF
BZS7041,TADIKA PUSAT PEMBELAJARAN TAHFIZ (PUSPETA),KAFAI,GOMBAK,AKTIF
BZH7015,TAHFIZ LUQMANULHAKIM,KAFAI,GOMBAK,AKTIF
BZH7032,TAHFIZ SURAU AL-AZIZIAH,KAFAI,GOMBAK,AKTIF
BZS7044,TASKI GENIUS AL-HIKMAH,KAFAI,GOMBAK,AKTIF
